customer,Arrival t,Service t,service begins,service ends,Idle t,Waiting t in queue,t in system,avg queue,avg idle
1,0.11223070042001883,0.43030962991013166,0.11223070042001883,0.5425403303301505,0.0,0.0,0.43030962991013166,0.7000803502383194,0.23815805410379684
2,0.11649982995794064,0.749872825146073,0.5425403303301505,1.2924131554762235,0.0,0.42604050037220986,1.1759133255182828,0.7000803502383194,0.23815805410379684
3,0.1643282952280012,0.14453705764958036,1.2924131554762235,1.4369502131258038,0.0,1.1280848602482223,1.2726219178978027,0.7000803502383194,0.23815805410379684
4,0.6366702247359652,0.7980018592021981,1.4369502131258038,2.234952072328002,0.0,0.8002799883898386,1.5982818475920368,0.7000803502383194,0.23815805410379684
5,0.6614218352480769,0.05523711669485682,2.234952072328002,2.290189189022859,0.0,1.5735302370799253,1.6287673537747822,0.7000803502383194,0.23815805410379684
6,1.5266452830252448,0.14515182823731987,2.290189189022859,2.435341017260179,0.0,0.7635439059976141,0.908695734234934,0.7000803502383194,0.23815805410379684
7,2.1919398706540316,0.16909333561085546,2.435341017260179,2.604434352871034,0.0,0.2434011466061472,0.41249448221700247,0.7000803502383194,0.23815805410379684
8,2.5802301353542156,0.1794278180279974,2.604434352871034,2.7838621708990314,0.0,0.02420421751681845,0.2036320355448158,0.7000803502383194,0.23815805410379684
9,2.7477065651863004,0.22499064780952618,2.7838621708990314,3.0088528187085575,0.0,0.03615560571273102,0.26114625352225707,0.7000803502383194,0.23815805410379684
10,2.974268221394038,0.5095630165574201,3.0088528187085575,3.5184158352659773,0.0,0.03458459731451935,0.5441476138719392,0.7000803502383194,0.23815805410379684
11,3.4686410313490574,0.31854046305326444,3.5184158352659773,3.836956298319242,0.0,0.04977480391691991,0.3683152669701846,0.7000803502383194,0.23815805410379684
12,3.656176856200026,0.14606423671877,3.836956298319242,3.983020535038012,0.0,0.18077944211921615,0.32684367883798604,0.7000803502383194,0.23815805410379684
13,4.082708061694586,0.058635547239608996,4.082708061694586,4.141343608934195,0.09968752665657377,0.0,0.058635547239608996,0.7000803502383194,0.23815805410379684
14,4.129495315915232,0.541681273495206,4.141343608934195,4.6830248824294,0.0,0.011848293018962508,0.5535295665141682,0.7000803502383194,0.23815805410379684
15,4.675253247543284,0.6565047602356989,4.6830248824294,5.3395296426650996,0.0,0.007771634886116097,0.6642763951218154,0.7000803502383194,0.23815805410379684
16,4.921396494574907,0.34855276392260515,5.3395296426650996,5.6880824065877045,0.0,0.41813314809019264,0.7666859120127976,0.7000803502383194,0.23815805410379684
17,5.099834167697041,0.04615570125881183,5.6880824065877045,5.734238107846516,0.0,0.5882482388906638,0.6344039401494754,0.7000803502383194,0.23815805410379684
18,5.264092884627529,0.32742371414506777,5.734238107846516,6.061661821991584,0.0,0.4701452232189869,0.7975689373640549,0.7000803502383194,0.23815805410379684
19,5.3496975175361685,0.2978859026062153,6.061661821991584,6.3595477245978,0.0,0.7119643044554156,1.009850207061631,0.7000803502383194,0.23815805410379684
20,5.657420175356879,0.7317270833479215,6.3595477245978,7.091274807945721,0.0,0.7021275492409202,1.433854632588842,0.7000803502383194,0.23815805410379684
21,5.902258711014626,0.12190872019964678,7.091274807945721,7.213183528145368,0.0,1.1890160969310957,1.3109248171307426,0.7000803502383194,0.23815805410379684
22,6.14647029868529,0.016796201373202507,7.213183528145368,7.229979729518571,0.0,1.0667132294600785,1.0835094308332813,0.7000803502383194,0.23815805410379684
23,6.234029630826313,0.44518375508089775,7.229979729518571,7.6751634845994685,0.0,0.9959500986922585,1.441133853773156,0.7000803502383194,0.23815805410379684
24,6.257112783931389,0.04187733758221539,7.6751634845994685,7.7170408221816835,0.0,1.4180507006680791,1.4599280382502942,0.7000803502383194,0.23815805410379684
25,6.35638892260027,0.09456300252251992,7.7170408221816835,7.8116038247042034,0.0,1.3606518995814136,1.4552149021039336,0.7000803502383194,0.23815805410379684
26,6.471673494829806,0.974897292499658,7.8116038247042034,8.786501117203862,0.0,1.3399303298743979,2.3148276223740565,0.7000803502383194,0.23815805410379684
27,6.7718286883669006,0.08802573824959363,8.786501117203862,8.874526855453455,0.0,2.0146724288369615,2.1026981670865545,0.7000803502383194,0.23815805410379684
28,7.972263546347451,0.3510764465113488,8.874526855453455,9.225603301964805,0.0,0.9022633091060044,1.253339755617354,0.7000803502383194,0.23815805410379684
29,8.25237280495149,0.16452471454869871,9.225603301964805,9.390128016513504,0.0,0.973230497013315,1.1377552115620144,0.7000803502383194,0.23815805410379684
30,8.475998846701643,0.3259590344522163,9.390128016513504,9.71608705096572,0.0,0.9141291698118614,1.2400882042640777,0.7000803502383194,0.23815805410379684
31,8.554650776492435,0.03139048135934232,9.71608705096572,9.747477532325062,0.0,1.1614362744732851,1.1928267558326269,0.7000803502383194,0.23815805410379684
32,8.808321836244348,0.4019852349330948,9.747477532325062,10.149462767258157,0.0,0.9391556960807144,1.3411409310138094,0.7000803502383194,0.23815805410379684
33,9.289988341328076,0.1285889626920965,10.149462767258157,10.278051729950255,0.0,0.859474425930081,0.9880633886221784,0.7000803502383194,0.23815805410379684
34,10.434468532003358,0.3114936787283931,10.434468532003358,10.74596221073175,0.15641680205310315,0.0,0.3114936787283931,0.7000803502383194,0.23815805410379684
35,10.616290739337966,0.37294618190017886,10.74596221073175,11.11890839263193,0.0,0.12967147139378454,0.5026176532939637,0.7000803502383194,0.23815805410379684
36,10.710387306451885,0.6345928585895997,11.11890839263193,11.753501251221529,0.0,0.4085210861800448,1.0431139447696438,0.7000803502383194,0.23815805410379684
37,10.830447512854635,0.18019222053525324,11.753501251221529,11.933693471756783,0.0,0.9230537383668942,1.1032459589021482,0.7000803502383194,0.23815805410379684
38,11.1044281874475,0.11782357916165788,11.933693471756783,12.051517050918441,0.0,0.8292652843092831,0.9470888634709418,0.7000803502383194,0.23815805410379684
39,11.573010236365244,0.1492886202558204,12.051517050918441,12.200805671174262,0.0,0.47850681455319766,0.627795434809018,0.7000803502383194,0.23815805410379684
40,11.738716643551998,0.19248311237958515,12.200805671174262,12.393288783553848,0.0,0.4620890276222642,0.65457214000185,0.7000803502383194,0.23815805410379684
41,11.826121484370336,0.3187757619697381,12.393288783553848,12.712064545523585,0.0,0.5671672991835113,0.8859430611532488,0.7000803502383194,0.23815805410379684
42,12.253982999204734,0.07686748163160795,12.712064545523585,12.788932027155193,0.0,0.45808154631885145,0.534949027950459,0.7000803502383194,0.23815805410379684
